,0
701,"('MINNESOTA                                         ', )"
702,"('MINSK                                             ', )"
703,"('MIRI                                              ', )"
704,"('MISKOLC                                           ', )"
705,"('MISURATA                                          ', )"
706,"('MIZUSHIMA                                         ', )"
707,"('MOBILE                                            ', )"
708,"('MOGADISCIO                                        ', )"
709,"('MOGILEV                                           ', )"
710,"('MOJI                                              ', )"
711,"('MOMBASA                                           ', )"
712,"('MONGLA                                            ', )"
713,"('MONROVIA                                          ', )"
714,"('MONTEGO BAY                                       ', )"
715,"('MONTERREY                                         ', )"
716,"('MONTEVIDEO                                        ', )"
717,"('MONTREAL                                          ', )"
718,"('MORMAGAO                                          ', )"
719,"('MORONI                                            ', )"
720,"('MORRISTOWN                                        ', )"
721,"('MORRISVILLE                                       ', )"
722,"('MOSCOW                                            ', )"
723,"('MOSTAGANEM                                        ', )"
724,"('MUARA                                             ', )"
725,"('MUDANJIANG                                        ', )"
726,"('MUKALLA                                           ', )"
727,"('MULUND                                            ', )"
728,"('MUMBAI                                            ', )"
729,"('MUNICH                                            ', )"
730,"('MURMANS                                           ', )"
731,"('MURMANSK                                          ', )"
732,"('MURORAN                                           ', )"
733,"('MUSCAT                                            ', )"
734,"('MUTARE                                            ', )"
735,"('MUTSAMUDU                                         ', )"
736,"('NACALA                                            ', )"
737,"('NAGASAKI                                          ', )"
738,"('NAGOYA                                            ', )"
739,"('NAHA                                              ', )"
740,"('NAIROBI                                           ', )"
741,"('NAKANOSEKI                                        ', )"
742,"('NAKHODKA                                          ', )"
743,"('NAMIBE                                            ', )"
744,"('NAMPO                                             ', )"
745,"('NANAO                                             ', )"
746,"('NANCHANG                                          ', )"
747,"('NANGANG (NANHAI)', )"
748,"('NANGUANG                                          ', )"
749,"('NANHAI                                            ', )"
750,"('NANHAI (SANSHAN)                                  ', )"
751,"('NANHUI                                            ', )"
752,"('NANJING                                           ', )"
753,"('NANNING                                           ', )"
754,"('NANSHA (GUANGZHOU)', )"
755,"('NANTONG                                           ', )"
756,"('NAOETSU                                           ', )"
757,"('NAPIER                                            ', )"
758,"('NAPLES                                            ', )"
759,"('NASHVILLE                                         ', )"
760,"('NASSAU                                            ', )"
